,Unnamed: 0,Unnamed: 0.1,date,high,low,open,close,volume,adjclose,formatted_date,Ticker,Company,compound,predictclose_15
744.0,6029,6029,1596634200,1490.0,1471.219970703125,1476.8199462890625,1479.0899658203125,1456700,1479.0899658203125,2020-08-05,GOOGL,Google,0,1508.5321
745.0,6030,6030,1596720600,1506.27001953125,1471.9000244140625,1476.1500244140625,1504.949951171875,1665300,1504.949951171875,2020-08-06,GOOGL,Google,0,1508.1119
746.0,6031,6031,1596807000,1520.0899658203125,1486.27001953125,1509.0400390625,1498.3699951171875,1385900,1498.3699951171875,2020-08-07,GOOGL,Google,0,1513.5554
747.0,6032,6032,1597066200,1507.1500244140625,1477.489990234375,1490.800048828125,1496.8199462890625,1027300,1496.8199462890625,2020-08-10,GOOGL,Google,0,1517.8586
748.0,6033,6033,1597152600,1510.43994140625,1478.18994140625,1494.0,1480.5400390625,1554900,1480.5400390625,2020-08-11,GOOGL,Google,0,1518.6085
749.0,6034,6034,1597239000,1511.6700439453125,1485.0,1487.1199951171875,1507.239990234375,1125600,1507.239990234375,2020-08-12,GOOGL,Google,0,1521.3867
750.0,6035,6035,1597325400,1536.969970703125,1508.2099609375,1508.2099609375,1516.6500244140625,1119400,1516.6500244140625,2020-08-13,GOOGL,Google,0,1528.2582
751.0,6036,6036,1597411800,1519.7900390625,1499.0,1513.6099853515625,1504.6300048828125,1097100,1504.6300048828125,2020-08-14,GOOGL,Google,0,1533.753
752.0,6037,6037,1597671000,1523.780029296875,1505.0,1515.969970703125,1516.239990234375,999500,1516.239990234375,2020-08-17,GOOGL,Google,0,1539.5608
753.0,6038,6038,1597757400,1557.3699951171875,1521.6700439453125,1526.1199951171875,1555.780029296875,1418900,1555.780029296875,2020-08-18,GOOGL,Google,0,1551.6235
754.0,6039,6039,1597843800,1568.8599853515625,1540.0,1552.489990234375,1544.6099853515625,1523600,1544.6099853515625,2020-08-19,GOOGL,Google,0,1564.3502
755.0,6040,6040,1597930200,1580.1700439453125,1534.4599609375,1539.969970703125,1576.25,1319100,1576.25,2020-08-20,GOOGL,Google,0,1577.783
756.0,6041,6041,1598016600,1591.8800048828125,1562.31005859375,1571.800048828125,1575.5699462890625,1741900,1575.5699462890625,2020-08-21,GOOGL,Google,0,1591.6459
757.0,6042,6042,1598275800,1608.780029296875,1575.0400390625,1592.469970703125,1585.1500244140625,1281900,1585.1500244140625,2020-08-24,GOOGL,Google,0,1606.1337
