,Unnamed: 0,Unnamed: 0.1,date,high,low,open,close,volume,adjclose,formatted_date,Ticker,Company,compound,predictclose_15
761.0,761,761,1598621400,126.44249725341795,124.57749938964844,126.0124969482422,124.80750274658205,187630000,123.82917022705078,2020-08-28,AAPL,Apple,0,127.09592
762.0,762,762,1598880600,131.0,126.0,127.58000183105467,129.0399932861328,225702700,128.0284881591797,2020-08-31,AAPL,Apple,0,128.43317
763.0,763,763,1598967000,134.8000030517578,130.52999877929688,132.75999450683594,134.17999267578125,151948100,133.12818908691406,2020-09-01,AAPL,Apple,0,129.97104
764.0,764,764,1599053400,137.97999572753906,127.0,137.58999633789062,131.39999389648438,200119000,130.3699951171875,2020-09-02,AAPL,Apple,0,131.6085
765.0,765,765,1599139800,128.83999633789062,120.5,126.91000366210938,120.87999725341795,257599600,119.93245697021484,2020-09-03,AAPL,Apple,0,132.68292
766.0,766,766,1599226200,123.6999969482422,110.88999938964844,120.06999969482422,120.95999908447266,332607200,120.01182556152344,2020-09-04,AAPL,Apple,0,133.14992
767.0,767,767,1599571800,118.98999786376952,112.68000030517578,113.9499969482422,112.81999969482422,231366600,111.93563842773438,2020-09-08,AAPL,Apple,0,132.77344
768.0,768,768,1599658200,119.13999938964844,115.26000213623048,117.26000213623048,117.31999969482422,176940500,116.40036010742188,2020-09-09,AAPL,Apple,0,132.02664
769.0,769,769,1599744600,120.5,112.5,120.36000061035156,113.48999786376952,182274400,112.6003875732422,2020-09-10,AAPL,Apple,0,131.01242
770.0,770,770,1599831000,115.2300033569336,110.0,114.56999969482422,112.0,180860300,111.12206268310548,2020-09-11,AAPL,Apple,0,129.68799
771.0,771,771,1600090200,115.93000030517578,112.8000030517578,114.72000122070312,115.36000061035156,140150100,114.45571899414062,2020-09-14,AAPL,Apple,0,128.31491
772.0,772,772,1600176600,118.83000183105467,113.61000061035156,118.33000183105467,115.54000091552734,184642000,114.63431549072266,2020-09-15,AAPL,Apple,0,127.063126
773.0,773,773,1600263000,116.0,112.04000091552734,115.2300033569336,112.12999725341795,154679000,111.25103759765624,2020-09-16,AAPL,Apple,0,125.7894
774.0,774,774,1600349400,112.1999969482422,108.70999908447266,109.72000122070312,110.33999633789062,178011000,109.47506713867188,2020-09-17,AAPL,Apple,0,124.38386
775.0,775,775,1600435800,110.87999725341795,106.08999633789062,110.4000015258789,106.83999633789062,287104900,106.00251007080078,2020-09-18,AAPL,Apple,0,122.861595
776.0,776,776,1600695000,110.19000244140624,103.0999984741211,104.54000091552734,110.08000183105467,195713800,109.21710968017578,2020-09-21,AAPL,Apple,0,121.291595
777.0,777,777,1600781400,112.86000061035156,109.16000366210938,112.68000030517578,111.80999755859376,183055400,110.9335479736328,2020-09-22,AAPL,Apple,0,119.99637
